"scenario","label.i","label.j","corr"
"a_m1","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.922
"a_m2","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.917
"a_m3","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.906
"v01_ct","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.906
"v01_m1","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.925
"v01_m2","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.919
"v01_m3","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.909
"v08a_m3","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.926
"v08b_m1","Size_DblN_end_logit_Commercial(1)","SR_LN(R0)",-0.905
"v08b_m1","Size_DblN_top_logit_NCRMP(2)","Size_DblN_peak_NCRMP(2)",-0.984
"v08b_m2","Size_DblN_top_logit_NCRMP(2)","Size_DblN_peak_NCRMP(2)",-0.989
"v08b_m3","Size_DblN_top_logit_NCRMP(2)","Size_DblN_peak_NCRMP(2)",-0.997
"v17a_m3","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.92
"v17a_m3","Size_DblN_top_logit_NCRMP(2)","Size_DblN_peak_NCRMP(2)",-0.969
"v17a_m3_64","Size_DblN_top_logit_NCRMP(2)","Size_DblN_peak_NCRMP(2)",-0.995
"v17b_m1","InitF_seas_1_flt_1Commercial","SR_LN(R0)",-0.985
"v17b_m1","Size_DblN_top_logit_Commercial(1)","Size_DblN_peak_Commercial(1)",-0.98
"v17b_m1","Size_DblN_top_logit_NCRMP(2)","Size_DblN_peak_NCRMP(2)",-0.986
"v17b_m1_64","InitF_seas_1_flt_1Commercial","SR_LN(R0)",-0.994
"v17b_m1_64","Size_DblN_top_logit_Commercial(1)","Size_DblN_peak_Commercial(1)",-0.965
"v17b_m1_64","Size_DblN_top_logit_NCRMP(2)","Size_DblN_peak_NCRMP(2)",-0.977
"v17b_m2","InitF_seas_1_flt_1Commercial","SR_LN(R0)",-0.985
"v17b_m2","Size_DblN_top_logit_Commercial(1)","Size_DblN_peak_Commercial(1)",-0.98
"v17b_m2_64","InitF_seas_1_flt_1Commercial","SR_LN(R0)",-0.998
"v17b_m2_64","Size_DblN_top_logit_Commercial(1)","Size_DblN_peak_Commercial(1)",-0.979
"v17b_m2_64","Size_DblN_top_logit_NCRMP(2)","Size_DblN_peak_NCRMP(2)",-0.996
"v17b_m3","Size_DblN_top_logit_NCRMP(2)","Size_DblN_peak_NCRMP(2)",-0.929
"v17b_m3_64","Size_DblN_top_logit_NCRMP(2)","Size_DblN_peak_NCRMP(2)",-0.908
"v21a_m3_f2_0310","Size_DblN_top_logit_NCRMP(2)","Size_DblN_peak_NCRMP(2)",-0.996
"v21a_m3_f2_0310","Size_DblN_ascend_se_Commercial(1)_BLK1repl_1983","Size_DblN_peak_Commercial(1)_BLK1repl_1983",0.938
"v21a_m3_f2_0310","Size_DblN_ascend_se_Commercial(1)_BLK1repl_2004","Size_DblN_peak_Commercial(1)_BLK1repl_2004",0.944
"v21b_m3_f2_0310","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.914
"v21b_m3_f2_0310","Size_DblN_ascend_se_Commercial(1)_BLK1repl_1983","Size_DblN_peak_Commercial(1)_BLK1repl_1983",0.937
"v21b_m3_f2_0310","Size_DblN_ascend_se_Commercial(1)_BLK1repl_2004","Size_DblN_peak_Commercial(1)_BLK1repl_2004",0.93
"v26a_m3","InitF_seas_1_flt_1Commercial","SR_LN(R0)",0.967
"v26a_m3","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.926
"v26a_m3","Size_DblN_top_logit_NCRMP(2)","Size_DblN_peak_NCRMP(2)",-0.998
"v26a_m3_64","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.926
"v28a_m3_64_f2_0310","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.929
"v28a_m3_64_f2_0310","Size_DblN_top_logit_NCRMP(2)","Size_DblN_peak_NCRMP(2)",-0.995
"v28a_m3_64_f2_0310","Size_DblN_ascend_se_Commercial(1)_BLK1repl_1983","Size_DblN_peak_Commercial(1)_BLK1repl_1983",0.93
"v28a_m3_64_f2_0310","Size_DblN_ascend_se_Commercial(1)_BLK1repl_2004","Size_DblN_peak_Commercial(1)_BLK1repl_2004",0.923
"v28a_m3_f2_0310","Size_DblN_top_logit_NCRMP(2)","Size_DblN_peak_NCRMP(2)",-0.995
"v28a_m3_f2_0310","Size_DblN_ascend_se_Commercial(1)_BLK1repl_1983","Size_DblN_peak_Commercial(1)_BLK1repl_1983",0.926
"v28a_m3_f2_0310","Size_DblN_ascend_se_Commercial(1)_BLK1repl_2004","Size_DblN_peak_Commercial(1)_BLK1repl_2004",0.925
"v28b_m3_64_f2_0310","Size_DblN_ascend_se_Commercial(1)_BLK1repl_1983","Size_DblN_peak_Commercial(1)_BLK1repl_1983",0.937
"v28b_m3_64_f2_0310","Size_DblN_ascend_se_Commercial(1)_BLK1repl_2004","Size_DblN_peak_Commercial(1)_BLK1repl_2004",0.903
"v28b_m3_64_f2_0310","Size_DblN_descend_se_Commercial(1)_BLK1repl_2004","Size_DblN_top_logit_Commercial(1)_BLK1repl_2004",-0.999
"v28b_m3_f2_0310","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.95
"v28b_m3_f2_0310","Size_DblN_descend_se_Commercial(1)","Size_DblN_top_logit_Commercial(1)",-0.966
"v28b_m3_f2_0310","Size_DblN_ascend_se_Commercial(1)_BLK1repl_1983","Size_DblN_peak_Commercial(1)_BLK1repl_1983",0.938
"v28b_m3_f2_0310","Size_DblN_ascend_se_Commercial(1)_BLK1repl_2004","Size_DblN_peak_Commercial(1)_BLK1repl_2004",0.907
"v28b_m3_f2_0310","Size_DblN_descend_se_Commercial(1)_BLK1repl_2004","Size_DblN_top_logit_Commercial(1)_BLK1repl_2004",-0.984
"v29a_m3_f2_0310","InitF_seas_1_flt_1Commercial","SR_LN(R0)",0.989
"v29a_m3_f2_0310","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.901
"v29a_m3_f2_0310","Size_DblN_top_logit_NCRMP(2)","Size_DblN_peak_NCRMP(2)",-0.979
"v29a_m3_f2_0310","Size_DblN_ascend_se_Commercial(1)_BLK1repl_1983","Size_DblN_peak_Commercial(1)_BLK1repl_1983",0.949
"v31a_m3_64_f2_0310","InitF_seas_1_flt_1Commercial","SR_LN(R0)",0.987
"v31a_m3_64_f2_0310","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.92
"v31a_m3_64_f2_0310","Size_DblN_ascend_se_Commercial(1)_BLK1repl_1983","Size_DblN_peak_Commercial(1)_BLK1repl_1983",0.917
"v31a_m3_f2_0310","InitF_seas_1_flt_1Commercial","SR_LN(R0)",0.962
"v31a_m3_f2_0310","Size_DblN_ascend_se_Commercial(1)","Size_DblN_peak_Commercial(1)",0.922
"v31a_m3_f2_0310","Size_DblN_top_logit_NCRMP(2)","Size_DblN_peak_NCRMP(2)",-0.996
"v31a_m3_f2_0310","Size_DblN_ascend_se_Commercial(1)_BLK1repl_1983","Size_DblN_peak_Commercial(1)_BLK1repl_1983",0.931
"v31a_m3_f2_0310","Size_DblN_ascend_se_Commercial(1)_BLK1repl_2004","Size_DblN_peak_Commercial(1)_BLK1repl_2004",0.909
